,url,search input,google maps name,id,hours in day,percentage busy,hour list,day list
7381,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,8,vrijdag
7382,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,7,9,vrijdag
7383,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,16,10,vrijdag
7384,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,29,11,vrijdag
7385,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,39,12,vrijdag
7386,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,42,13,vrijdag
7387,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,44,14,vrijdag
7388,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,48,15,vrijdag
7389,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,44,16,vrijdag
7390,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,28,17,vrijdag
7391,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,18,vrijdag
7392,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,19,vrijdag
7393,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,20,vrijdag
7394,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,21,vrijdag
7395,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,22,vrijdag
7396,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,23,vrijdag
7397,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,6,zaterdag
7398,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,7,zaterdag
7399,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,8,zaterdag
7400,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,9,9,zaterdag
7401,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,19,10,zaterdag
7402,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,29,11,zaterdag
7403,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,34,12,zaterdag
7404,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,36,13,zaterdag
7405,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,42,14,zaterdag
7406,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,46,15,zaterdag
7407,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,39,16,zaterdag
7408,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,22,17,zaterdag
7409,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,18,zaterdag
7410,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,19,zaterdag
7411,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,20,zaterdag
7412,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,21,zaterdag
7413,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,22,zaterdag
7414,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,23,zaterdag
7415,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,6,zondag
7416,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,7,zondag
7417,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,0,8,zondag
7418,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,11,9,zondag
7419,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,20,10,zondag
7420,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,29,11,zondag
7421,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,35,12,zondag
7422,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,35,13,zondag
7423,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,31,14,zondag
7424,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,34,15,zondag
7425,"https://www.google.be/maps/place/HEMA/@50.884047,4.6348753,12z/data=!4m16!1m10!2m9!1sSupermarkt!3m6!1sSupermarkt!2sLeuven!3s0x47c160d05ebbdf85:0x40099ab2f4d5690!4m2!1d4.7005176!2d50.8798438!6e6!3m4!1s0x47c160d9aa83a535:0x465c9b9b5fd37beb!8m2!3d50.8794132!4d4.6996614",Leuven,HEMA,VMHX+QV Leuven,18,44,16,zondag
